"","donor_code","donornameE","agency_code","crs_agency_name","loc_agency_acronym","agencynameE","total_usd_disbursement","usd_extended_defl","X","Donor.name..EN.","Agency.name..EN.","Acronym"
"110",5,"Germany",61,"BMVJ","BMVJ","Federal Ministry of Justice and Consumer Protection","5.4969703",0.0364,NA,NA,NA,NA
"111",5,"Germany",62,"BMWi","BMWi","Federal Ministry for Economic Affairs and Energy","6.8430229",19.871086779,NA,NA,NA,NA
"112",5,"Germany",63,"BMEL","BMEL","Federal Ministry of Food and Agriculture","23.2402608",18.08478839,NA,NA,NA,NA
"113",5,"Germany",64,"BMVg","BMVg","Federal Ministry of Defence","3.34373717",NA,NA,NA,NA,NA
"114",5,"Germany",65,"BMFSFJ","BMFSFJ","Federal Ministry of Family Affairs, Senior Citizens, Women and Youth","2.65358",NA,NA,NA,NA,NA
"115",5,"Germany",66,"BMG","BMG","Federal Ministry of Health","0.3599827",25.479755877,NA,NA,NA,NA
"116",5,"Germany",67,"BMVI","BMVI","Federal Ministry of Transport and Digital Infrastructure","0.28030674",0.214271868,NA,NA,NA,NA
"117",5,"Germany",68,"BMBF","BMBF","Federal Ministry of Education and Research","152.0832182",NA,NA,NA,NA,NA
"118",5,"Germany",69,"BKM","BKM","Federal Government Commissioner for Culture and the Media","211.814772",NA,NA,NA,NA,NA
"119",5,"Germany",70,"Bundestag","Bundestag","German Bundestag","0.78367027",NA,NA,NA,NA,NA
"120",5,"Germany",71,"BMAS","BMAS","Federal Ministry of Labour and Social Affairs","1.08797",17.48903872,NA,NA,NA,NA
"121",5,"Germany",80,"Schleswig-Holstein","Schleswig-Holstein","Federal State of Schleswig-Holstein","1.89253708",NA,NA,NA,NA,NA
"122",5,"Germany",81,"Hamburg","Hamburg","City State of Hamburg","5.24411538",NA,NA,NA,NA,NA
"123",5,"Germany",82,"Niedersachsen","Niedersachsen","Federal State of Lower-Saxony","0.91363564",NA,NA,NA,NA,NA
"124",5,"Germany",83,"Bremen","Bremen","City State of Bremen","0.83160183",NA,NA,NA,NA,NA
"125",5,"Germany",84,"Nordrhein-Westfalen","Nordrhein-Westfalen","Federal State of North Rhine-Westphalia","11.2490241",NA,NA,NA,NA,NA
"126",5,"Germany",85,"Hessen","Hessen","Federal State of Hesse","3.12845318",NA,NA,NA,NA,NA
"127",5,"Germany",86,"Rheinland-Pfalz","Rheinland-Pfalz","Federal State of Rhineland-Palatinate","2.18594534",NA,NA,NA,NA,NA
"128",5,"Germany",87,"Badentemberg","Badenttemberg","Federal State of Badenemberg","3.68202903",NA,NA,NA,NA,NA
"129",5,"Germany",88,"Bayern","Bayern","Federal State of Bavaria","3.90248768",NA,NA,NA,NA,NA
"130",5,"Germany",89,"Saarland","Saarland","Federal State of Saarland","0.37762131",NA,NA,NA,NA,NA
"131",5,"Germany",90,"Berlin","Berlin","City State of Berlin","1.0664371",NA,NA,NA,NA,NA
"132",5,"Germany",91,"Brandenburg","Brandenburg","Federal State of Brandenburg","0.24579069",NA,NA,NA,NA,NA
"133",5,"Germany",92,"Mecklenburg-Vorpommern","Mecklenburg-Vorpommern","Federal State of Mecklenburg-West Pomerania","0.34644377",NA,NA,NA,NA,NA
"134",5,"Germany",93,"Sachsen-Anhalt","Sachsen-Anhalt","Federal State of Saxony-Anhalt","0.26764095",NA,NA,NA,NA,NA
"135",5,"Germany",94,"Sachsen","Sachsen","Federal State of Saxony","0.14986313",NA,NA,NA,NA,NA
"136",5,"Germany",95,"Thingen","Thingen","Federal State of Thuringia","0.10811988",NA,NA,NA,NA,NA
"137",1311,"Global Alliance for Vaccines and Immunization [GAVI]",1,"GAVI","NULL","NULL","1414.73055",NA,NA,NA,NA,NA
"138",811,"Global Environment Facility [GEF]",1,"GEF","NULL","NULL","601.1596086",NA,NA,NA,NA,NA
"139",811,"Global Environment Facility [GEF]",11,"NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA
"140",811,"Global Environment Facility [GEF]",12,"LDCF","NULL","NULL","3.3853476",NA,NA,NA,NA,NA
"141",811,"Global Environment Facility [GEF]",13,"SCCF","NULL","NULL","1.11712568",NA,NA,NA,NA,NA
"142",1312,"Global Fund",1,"Global Fund","NULL","NULL","2887.143658",NA,NA,NA,NA,NA
"143",1313,"Global Green Growth Institute [GGGI]",1,"NULL","NULL","NULL","15.5247649",NA,NA,NA,NA,NA
"144",40,"Greece",3,"MFA","MFA","Ministry of Foreign Affairs","3.951593568",13.183690964,NA,NA,NA,NA
"145",40,"Greece",4,"MND","MND","Ministry of National Defense","0.492205",0.0184,NA,NA,NA,NA
"146",40,"Greece",5,"MDCS","MDCS","Ministry of Development, Competitiveness & Shipping","0.0166155",1.754214191,NA,NA,NA,NA
"147",40,"Greece",6,"MEECC","MEECC","Ministry of the Environment, Energy & Climate Change","0.2530362",0.427763384,NA,NA,NA,NA
"148",40,"Greece",7,"MELLLR","MELLLR","Ministry of Education, Life Long Learning & Religions","11.59563296",0.00407,NA,NA,NA,NA
"149",40,"Greece",9,"MESS","MESS","Ministry of Employment & Social Security","4.24732846",NA,NA,NA,NA,NA
"150",40,"Greece",10,"MHSS","MHSS","Ministry of Health & Social Solidarity","17.1065241",2.331785123,NA,NA,NA,NA
"151",40,"Greece",11,"MADF","MADF","Ministry of Agricultural Development & Food","0.60405364",2.160119626,NA,NA,NA,NA
"152",40,"Greece",13,"MCP","MCP","Ministry of Citizen Protection","0.105895678",0.0244,NA,NA,NA,NA
"153",40,"Greece",14,"MCT","MCT","Ministry of Culture & Tourism","0.44864",0.016217348,NA,NA,NA,NA
"154",40,"Greece",99,"MISC","MISC","Miscellaneous","7.276033887",0.312451995,NA,NA,NA,NA
"155",75,"Hungary",1,"MNE","NULL","NULL","0.0853435",NA,NA,NA,NA,NA
"156",75,"Hungary",2,"MinTrade","NULL","NULL","2.902601875",NA,NA,NA,NA,NA
"157",75,"Hungary",3,"BIN","NULL","NULL","10.41288659",NA,NA,NA,NA,NA
"158",75,"Hungary",4,"INT","NULL","NULL","0.140177042",NA,NA,NA,NA,NA
"159",75,"Hungary",5,"MCH","NULL","NULL","7.18320105",NA,NA,NA,NA,NA
"160",75,"Hungary",6,"DEF","NULL","NULL","0.06976388",NA,NA,NA,NA,NA
"161",75,"Hungary",7,"AGRI","NULL","NULL","0.38631758",NA,NA,NA,NA,NA
"162",75,"Hungary",21,"NULL","NULL","NULL","6",NA,NA,NA,NA,NA
"163",75,"Hungary",22,"EXIM","NULL","NULL","2.5093871",NA,NA,NA,NA,NA
"164",75,"Hungary",99,"MISC","NULL","NULL","0.40816987",NA,NA,NA,NA,NA
"165",20,"Iceland",1,"MFA","MFA","Ministry of Foreign Affairs","15.98756149",5.926270473,NA,NA,NA,NA
"166",20,"Iceland",2,"ICEIDA","ICEIDA","ICEIDA","13.6652721",NA,NA,NA,NA,NA
"167",20,"Iceland",3,"ICRU","ICRU","ICRU","1.285745",0.130162549,NA,NA,NA,NA
"168",912,"IDB Special Fund",1,"FSO","NULL","NULL","64.048291",NA,NA,NA,NA,NA
"169",912,"IDB Special Fund",3,"FSO-ORC","NULL","NULL","818.624264",NA,NA,NA,NA,NA
"170",912,"IDB Special Fund",4,"ORC","NULL","NULL","770.600089",NA,NA,NA,NA,NA
"171",912,"IDB Special Fund",5,"MIF","NULL","NULL","79.299655",NA,NA,NA,NA,NA
"172",912,"IDB Special Fund",6,"GRF","NULL","NULL","205.821746",NA,NA,NA,NA,NA
"173",988,"IFAD",1,"IFAD","NULL","NULL","NULL",NA,NA,NA,NA,NA
"174",958,"IMF (Concessional Trust Funds)",1,"NULL","NULL","NULL","832.08199",NA,NA,NA,NA,NA
"175",909,"Inter-American Development Bank [IDB]",1,"ORC","NULL","NULL","8774.085239",NA,NA,NA,NA,NA
"176",909,"Inter-American Development Bank [IDB]",5,"MIF","NULL","NULL","14.758015",NA,NA,NA,NA,NA
"177",901,"International Bank for Reconstruction and Development [IBRD]",1,"IBRD","NULL","NULL","15858.20922",NA,NA,NA,NA,NA
"178",905,"International Development Association [IDA]",1,"IDA","NULL","NULL","13759.27135",NA,NA,NA,NA,NA
"179",903,"International Finance Corporation [IFC]",1,"IFC","NULL","NULL","NULL",NA,NA,NA,NA,NA
"180",21,"Ireland",1,"DFA","DFA","Department of Foreign Affairs","513.5612162",124.858258382,"Ireland - Department of Foreign Affairs and Trade","Ireland","Department of Foreign Affairs","DFA"
"181",21,"Ireland",3,"DAFM","DAFM","Department of Agriculture, Food and the Marine","1.8510951",14.278972449,NA,NA,NA,NA
"182",21,"Ireland",99,"MISC","MISC","Miscellaneous","7.9769676",118.813576827,NA,NA,NA,NA
"183",976,"Islamic Development Bank [IsDB]",1,"IsDB","NULL","NULL","1762.587265",NA,NA,NA,NA,NA
"184",6,"Italy",4,"DGCS","DGCS","Direzione Generale per la Cooperazione allo Sviluppo","365.5444964",116.571918734,NA,NA,NA,NA
"185",6,"Italy",7,"CA","CA","Central administration","989.1389769",2512.009631727,NA,NA,NA,NA
"186",6,"Italy",8,"LA","LA","Local administration","15.91435766",NA,NA,NA,NA,NA
"187",6,"Italy",9,"Art.","Art.","Artigiancassa","75.61297002",NA,NA,NA,NA,NA
"188",6,"Italy",10,"NULL","NULL","NULL","93.41065429",NA,NA,NA,NA,NA
"189",6,"Italy",11,"NULL","NULL","NULL","15.05868864",NA,NA,NA,NA,NA
"190",701,"Japan",1,"MAFF","MAFF","Ministry of Agriculture, Forestry and Fisheries","27.5189352",0.2288909,NA,NA,NA,NA
"191",701,"Japan",2,"MOFA","MOFA","Ministry of Foreign Affairs","2755.511",899.835932114,"Japan - Japan International Cooperation Agency (JICA)","Japan","Ministry of Foreign Affairs","MOFA"
"192",701,"Japan",8,"JICA","JICA","Japanese International Co-operation Agency","9026.413779",0,"Japan - Japan International Cooperation Agency (JICA)","Japan","Japan International Co-operation Agency","JICA"
"193",701,"Japan",10,"JODC","JODC","Japan Overseas Development Co-operation","NULL",NA,NA,NA,NA,NA
"194",701,"Japan",11,"JBIC","JBIC","Japan Bank for International Co-operation","NULL",NA,NA,NA,NA,NA
"195",701,"Japan",12,"Oth. MIN","Oth. MIN","Other Ministries","637.773685",2571.456941643,NA,NA,NA,NA
"196",701,"Japan",13,"PC","PC","Public Corporations","2.66341659",1.249291107,NA,NA,NA,NA
"197",701,"Japan",14,"PRF","PRF","Prefectures","2.696955765",NA,NA,NA,NA,NA
"198",701,"Japan",15,"ODC","ODC","Ordinance-designed Cities","0.30613866",NA,NA,NA,NA,NA
"199",613,"Kazakhstan",1,"MFA","NULL","NULL","5.2468587",NA,NA,NA,NA,NA
"200",613,"Kazakhstan",2,"GOV","NULL","NULL","4.33612",NA,NA,NA,NA,NA
"201",613,"Kazakhstan",3,"EDUC","NULL","NULL","11",NA,NA,NA,NA,NA
"202",613,"Kazakhstan",4,"NULL","NULL","NULL","6.5",NA,NA,NA,NA,NA
"203",742,"Korea",1,"MOSF","MOSF","Ministry of Strategy and Finance","19.530131",315.43544628,NA,NA,NA,NA
"204",742,"Korea",2,"KEXIM","KEXIM","Export-Import Bank of Korea","7740.907525",NA,NA,NA,NA,NA
"205",742,"Korea",3,"MOFAT","MOFAT","Ministry of Foreign Affairs and Trade","113.435438",67.787993176,NA,NA,NA,NA
"206",742,"Korea",4,"KOICA","KOICA","Korea International Cooperation Agency","551.152917",NA,NA,NA,NA,NA
"207",742,"Korea",99,"MISC","MISC","Miscellaneous","194.078442",57.672968312,NA,NA,NA,NA
"208",552,"Kuwait [KFAED]",1,"KFAED","Kuwait Fund for Arab Economic Development (KFAED)","NULL","366.1675818",NA,NA,NA,NA,NA
"209",552,"Kuwait [KFAED]",2,"NULL","Government Grants administered by KFAED","NULL","183.7523683",NA,NA,NA,NA,NA
"210",84,"Lithuania",1,"GOV","NULL","NULL","0.2242229",NA,NA,NA,NA,NA
"211",84,"Lithuania",2,"MFA","NULL","NULL","4.365380259",NA,NA,NA,NA,NA
"212",84,"Lithuania",3,"DEF","NULL","NULL","0.29071833",NA,NA,NA,NA,NA
"213",84,"Lithuania",4,"ENV","NULL","NULL","0.4140943",NA,NA,NA,NA,NA
"214",84,"Lithuania",5,"FIN","NULL","NULL","0.1905673",NA,NA,NA,NA,NA
"215",84,"Lithuania",6,"ECON","NULL","NULL","0.039800763",NA,NA,NA,NA,NA
"216",84,"Lithuania",7,"EDUC","NULL","NULL","1.286452339",NA,NA,NA,NA,NA
"217",84,"Lithuania",8,"NULL","NULL","NULL","0.00103755",NA,NA,NA,NA,NA
"218",84,"Lithuania",10,"MoH","NULL","NULL","0.0113848",NA,NA,NA,NA,NA
"219",84,"Lithuania",11,"AGRI","NULL","NULL","0.00648235",NA,NA,NA,NA,NA
"220",84,"Lithuania",12,"INT","NULL","NULL","0.009473261",NA,NA,NA,NA,NA
"221",84,"Lithuania",13,"NULL","NULL","NULL","0.01000969",NA,NA,NA,NA,NA
"222",84,"Lithuania",20,"NULL","NULL","NULL","0.00818499",NA,NA,NA,NA,NA
"223",84,"Lithuania",30,"NULL","NULL","NULL","0.02204086",NA,NA,NA,NA,NA
"224",22,"Luxembourg",2,"MFA","MFA","Ministry of Foreign Affairs","304.5438943",122.120334827,NA,NA,NA,NA
"225",7,"Netherlands",1,"MFA","MFA","Ministry of Foreign Affairs (DGIS)","4180.104554",1531.930095081,"Netherlands - Ministry of Foreign Affairs","Netherlands","Ministry of Foreign Affairs (DGIS)","MFA"
"226",7,"Netherlands",33,"NCM","Atradius","Atradius","NULL",NA,NA,NA,NA,NA
"227",820,"New Zealand",1,"NZG","NZG","Ministry of Foreign Affairs and Trade","389.8157323",90.074824765,NA,NA,NA,NA
"228",820,"New Zealand",99,"MISC","MISC","Miscellaneous","20.8741425",4.322547581,NA,NA,NA,NA
"229",104,"Nordic Development Fund [NDF]",1,"NDF","NULL","NULL","49.600566",NA,NA,NA,NA,NA
"230",8,"Norway",1,"NORAD","NORAD","Norwegian Agency for Development Co-operation","848.197092",29.901911208,"Norad - Norwegian Agency for Development Cooperation","Norway","Norwegian Agency for Development Co-operation","NORAD"
"231",8,"Norway",4,"MFA","MFA","Ministry of Foreign Affairs","2908.857452",1242.510958796,"Norad - Norwegian Agency for Development Cooperation","Norway","Ministry of Foreign Affairs","MFA"
"232",8,"Norway",7,"IN","IN","Innovation Norway","0.601565",NA,NA,NA,NA,NA
"233",8,"Norway",8,"NORFUND","NORFUND","NORFUND","520.0596424",NA,NA,NA,NA,NA
"234",8,"Norway",9,"FK","FK","FK Norway","34.08315167",NA,NA,NA,NA,NA
"235",8,"Norway",10,"OAG","OAG","Office of the Auditor General","1.9912031",NA,NA,NA,NA,NA
"236",8,"Norway",11,"DEF","DEF","Ministry of Defence","4.031213",NA,NA,NA,NA,NA
